area,bedrooms,bathrooms,location,price
1710,3,2,CollgCr,208500
1262,3,2,Veenker,181500
1786,3,2,CollgCr,223500
1717,3,1,Crawfor,140000
2198,4,2,NoRidge,250000
1362,1,1,Mitchel,143000
1694,3,2,Somerst,307000
2090,3,2,NWAmes,200000
1774,2,2,OldTown,129900
1077,2,1,BrkSide,118000
1040,3,1,Sawyer,129500
2324,4,3,NridgHt,345000
912,2,1,Sawyer,144000
1494,3,2,CollgCr,279500
1253,2,1,NAmes,157000
854,2,1,BrkSide,132000
1004,2,1,NAmes,149000
1296,2,2,Sawyer,90000
1114,3,1,SawyerW,159000
1339,3,1,NAmes,139000
2376,4,3,NridgHt,325300
1108,3,1,IDOTRR,139400
1795,3,2,CollgCr,230000
1060,3,1,MeadowV,129900
1060,3,1,Sawyer,154000
1600,3,2,NridgHt,256300
900,3,1,NAmes,134800
1704,3,2,NridgHt,306000
1600,2,1,NAmes,207500
520,1,1,BrkSide,68500
1317,3,1,IDOTRR,40000
1228,3,1,Sawyer,149350
1234,3,2,CollgCr,179900
1700,4,1,NAmes,165500
1561,2,2,NridgHt,277500
2452,4,3,NridgHt,309000
1097,3,1,CollgCr,145000
1297,3,1,NAmes,153000
1057,3,1,NAmes,109000
1152,2,2,Edwards,82000
1324,3,2,NAmes,160000
1328,2,1,Timber,170000
884,2,1,SawyerW,144000
938,3,1,CollgCr,130250
1150,3,1,NAmes,141000
1752,2,2,NridgHt,319900
2149,1,1,Mitchel,239686
1656,3,2,Somerst,249700
1452,2,2,OldTown,113000
955,3,1,Sawyer,127000
1470,3,2,Gilbert,177000
1176,3,1,BrkSide,114500
816,2,1,IDOTRR,110000
1842,0,0,Veenker,385000
1360,3,1,NAmes,130000
1425,3,2,NAmes,180500
1739,3,2,Somerst,172500
1720,3,2,CollgCr,196500
2945,3,3,StoneBr,438780
780,2,1,CollgCr,124900
1158,3,1,SawyerW,158000
1111,3,1,IDOTRR,101000
1370,2,2,NridgHt,202500
1710,3,2,OldTown,140000
2034,3,2,CollgCr,219500
2473,4,2,NridgHt,317000
2207,3,2,NAmes,180000
1479,3,2,CollgCr,226000
747,2,1,OldTown,80000
2287,3,2,ClearCr,225000
2223,3,2,NAmes,244000
845,2,1,Mitchel,129500
1718,3,2,Gilbert,185000
1086,3,1,NAmes,144900
1605,3,2,OldTown,107400
988,2,1,MeadowV,91000
952,2,1,NAmes,135750
1285,2,1,BrkSide,127000
1768,4,2,Sawyer,136500
1230,2,1,OldTown,110000
2142,4,2,NAmes,193500
1337,2,2,Mitchel,153500
1563,3,2,Somerst,245000
1065,3,1,NAmes,126500
1474,3,2,Gilbert,168500
2417,4,2,NoRidge,260000
1560,3,2,Gilbert,174000
1224,2,2,Somerst,164500
1526,2,1,IDOTRR,85000
990,3,1,CollgCr,123600
1040,2,1,NAmes,109900
1235,2,1,NAmes,98600
964,2,1,Crawfor,163500
2291,4,2,OldTown,133900
1786,3,2,CollgCr,204750
1470,3,2,Gilbert,185000
1588,3,2,CollgCr,214000
960,3,1,Edwards,94750
835,2,1,Edwards,83000
1225,3,1,NAmes,128950
1610,3,2,NWAmes,205000
1732,3,2,SawyerW,178000
1535,4,2,SawyerW,118964
1226,3,2,CollgCr,198900
1818,4,1,IDOTRR,169500
1992,3,2,Somerst,250000
1047,2,1,OldTown,100000
789,2,1,OldTown,115000
1517,3,2,IDOTRR,115000
1844,3,2,NWAmes,190000
1855,4,2,Edwards,136900
1430,3,2,Gilbert,180000
2696,4,2,CollgCr,383970
2259,3,2,Crawfor,217000
2320,3,2,Crawfor,259500
1458,2,2,Somerst,176000
1092,3,1,Sawyer,139000
1125,2,1,Edwards,155000
3222,5,3,SawyerW,320000
1456,3,2,CollgCr,163990
988,1,1,ClearCr,180000
1123,3,1,IDOTRR,100000
1080,3,1,NAmes,136000
1199,2,2,SawyerW,153900
1586,3,2,NWAmes,181000
754,2,1,IDOTRR,84500
958,2,2,NPkVill,128000
840,3,1,OldTown,87000
1348,3,1,NAmes,155000
1053,3,1,NAmes,150000
2157,4,2,NAmes,226000
2054,3,2,Gilbert,244000
1327,3,1,NAmes,150750
1296,2,2,Timber,220000
1721,3,2,Sawyer,180000
1682,3,2,NWAmes,174000
1214,3,2,NAmes,143000
1959,5,3,Mitchel,171000
1852,3,2,CollgCr,230000
1764,3,2,CollgCr,231500
864,3,1,NAmes,115000
1734,3,2,CollgCr,260000
1385,4,2,NAmes,166000
1501,3,2,CollgCr,204000
1728,6,2,Sawyer,125000
1709,3,2,Edwards,130000
875,2,1,BrkSide,105000
2035,3,2,Gilbert,222500
1080,3,1,SawyerW,141000
1344,3,1,BrkSide,115000
969,3,1,CollgCr,122000
1710,2,2,NridgHt,372402
1993,4,2,NWAmes,190000
1252,1,1,ClearCr,235000
1200,4,1,OldTown,125000
1096,2,1,Edwards,79000
1040,2,1,NAmes,109500
1968,4,2,Timber,269500
1947,3,2,Somerst,254900
2462,4,2,Gilbert,320000
1232,3,2,Veenker,162500
2668,3,2,NridgHt,412500
1541,3,2,NridgHt,220000
882,1,1,OldTown,103200
1616,3,2,OldTown,152000
1355,4,2,Edwards,127500
1867,2,1,ClearCr,190000
2161,3,1,NridgHt,325624
1720,3,2,Gilbert,183500
1707,2,2,Timber,228000
1382,2,1,OldTown,128500
1656,3,1,NAmes,215000
1767,2,2,StoneBr,239000
1362,3,1,NAmes,163000
1651,3,2,Timber,184000
2158,4,2,Edwards,243000
2060,4,2,ClearCr,211000
1920,4,2,Sawyer,172500
2234,1,2,StoneBr,501837
968,2,1,OldTown,100000
1525,3,2,Somerst,177000
1802,4,1,Crawfor,200100
1340,3,1,Edwards,120000
2082,3,2,OldTown,200000
1252,3,1,BrkSide,127000
3608,4,2,OldTown,475000
1217,3,2,Mitchel,173000
1656,3,2,OldTown,135000
1224,2,0,SawyerW,153337
1593,0,1,StoneBr,286000
2727,3,2,Crawfor,315000
1479,4,1,NAmes,184000
1431,3,2,CollgCr,192000
1709,3,2,Edwards,130000
864,3,1,CollgCr,127000
1456,3,2,NPkVill,148500
1726,3,2,Somerst,311872
3112,4,2,NAmes,235000
2229,5,1,OldTown,104000
1713,3,2,NridgHt,274900
1121,2,2,Edwards,140000
1279,3,2,Mitchel,171500
1310,2,2,OldTown,112000
848,1,1,CollgCr,149000
1284,2,1,OldTown,110000
1442,3,2,Gilbert,180500
